Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal "r - i" "r - J0660" "e(r - i)" "e(r - J0660)"
STRIPE82-0016 iDR3.STRIPE82-0016.035805 9.789238950909432 0.6698562687124668 2.689633 702 2.7895033 12.0 0 15.269469 14.712924 14.421446 14.333186999999999 14.301538 14.255428 14.144182999999998 14.110078 13.754885 14.114753 13.826947 14.102741 0.004312567 0.004845917700000001 0.006069562 0.004756299 0.004462608 0.0018814071 0.0034514929 0.0015824666 0.001529177 0.0015606367 0.0023091694 0.0018226085 -0.004675000000000651 0.35519299999999987 0.0022225632610799744 0.002200586930217609
STRIPE82-0019 iDR3.STRIPE82-0019.053429 13.379269784221703 -0.26420977227150605 5.0583243 210 2.7656379 12.0 0 21.668837 18.037853 17.712486 16.57659 16.42199 16.296753 15.706234 15.581326 14.992964 15.261407 14.582259 15.076832000000001 0.2869386 0.024587896 0.02876607 0.012031491000000002 0.010349864 0.004319413 0.006709784 0.0029712690000000003 0.0025811975 0.0026483034999999996 0.0032276378000000005 0.003085106 0.3199190000000005 0.588362 0.003980194831722845 0.003935863311189459
STRIPE82-0022 iDR3.STRIPE82-0022.012256 14.808207423655741 0.4104015892863053 4.471899 111 3.125633 12.0 0 18.964223999999998 16.94039 16.769892000000002 16.32876 16.287294 16.25655 15.820298000000001 15.852093 15.545063 15.740773 15.387314000000002 15.730839000000001 0.054305136 0.015430181999999999 0.018063753999999998 0.011851743 0.010529843 0.005126991 0.007105745 0.0038603192999999997 0.003392978 0.003710803 0.004974843 0.004832315 0.1113199999999992 0.30702999999999925 0.005354635748840577 0.005139490714695036
STRIPE82-0027 iDR3.STRIPE82-0027.041551 18.69288968368499 0.0437448805567159 6.569600599999999 298 3.268073 12.0 0 20.718988 21.365402 19.31505 18.304485 17.561332999999998 17.566416 16.535995 15.966420999999999 15.284144 15.716873999999999 14.977317999999999 15.479607999999999 0.092538945 0.33720586 0.08654083 0.026174081000000002 0.022438996 0.0060944613 0.0071641686 0.002817112 0.0021086268 0.0026335358 0.0034253476000000002 0.0033972266 0.24954699999999974 0.6822769999999991 0.003856375348747272 0.0035188672896576023
STRIPE82-0038 iDR3.STRIPE82-0038.001162 25.48450964845401 0.02726261312712821 3.8762033 856 2.821001 12.0 0 18.629920000000002 18.157948 16.851181 16.034102999999998 15.975528 15.864177999999999 14.71592 14.11728 13.132776000000002 13.326012 13.540962 12.712089 0.025595104 0.029814936 0.01783756 0.00901282 0.008711112 0.0036389655 0.0040634404999999995 0.0014799734 0.001046833 0.0010711371 0.0019625693 0.0010193061 0.7912679999999988 0.9845039999999976 0.0018269252726107793 0.0018127825557955263
STRIPE82-0038 iDR3.STRIPE82-0038.016309 26.148163462927407 0.4285894362288352 16.05045 465 2.2961605 12.0 4 21.547935 15.149682 14.739516 14.190524 14.185481 15.056541000000001 13.534201999999999 13.553556 13.212494 13.431329999999999 13.013341 13.354364000000002 0.27898335 0.005443324300000001 0.005847335 0.0036323647999999997 0.0036037501 0.0024710614000000002 0.0023235166 0.001134814 0.0010833577 0.0011206589 0.0015180882 0.0013758077 0.12222600000000128 0.34106200000000086 0.001594891590279794 0.0015689062179573673
STRIPE82-0040 iDR3.STRIPE82-0040.044982 27.082155171063967 1.4435699526556067 2.5833492000000002 228 2.4866307 12.0 0 17.084784 16.837343 16.550339 15.791089999999999 15.527526000000002 16.15181 14.838823999999999 15.462122 14.161878 14.260210999999998 13.964099 14.168220499999999 0.009038734 0.011468249 0.013809513 0.0079646865 0.0064158603 0.0038888205 0.004091346 0.0026608924 0.0016973539999999999 0.0015641162 0.0023217597 0.0018156988 1.2019110000000026 1.300244000000001 0.0030865527456177063 0.0031561620626472525
STRIPE82-0043 iDR3.STRIPE82-0043.060066 30.01407705069201 0.010234513754027385 7.5913672000000005 442 2.4078383 12.0 4 18.093222 17.790356 17.442987 16.406685 16.080837 16.308453 15.062538 15.274742000000002 13.817629 13.730854 13.379295 13.388226500000002 0.01641631 0.01969409 0.022767767 0.011450294 0.00936194 0.0044963015 0.0047716154 0.0025106699 0.0014796384 0.0012162902000000001 0.0017803088 0.0012251739999999999 1.5438880000000008 1.4571130000000014 0.002789771531395008 0.002914239719295681
STRIPE82-0044 iDR3.STRIPE82-0044.045123 29.948435289837352 1.4415609746701858 4.954955 595 3.0402415 12.0 0 16.750061 16.40648 15.943786 15.188158999999999 15.048363 14.89424 14.395248 14.335113 13.799726999999999 13.818489999999999 13.559675 13.590644000000001 0.007710626 0.009684205 0.010624119 0.006224141999999999 0.0054325806 0.0021706983 0.0034883225 0.0015920342 0.0015000335 0.0012826024 0.0025544069 0.0013848555 0.5166230000000009 0.5353860000000008 0.002044417230032901 0.0021873896303795286
STRIPE82-0053 iDR3.STRIPE82-0053.018598 37.48662510935957 -0.9295615570645844 2.5821197 184 2.7525868 12.0 0 22.59787 17.12591 17.007642999999998 16.386236 16.246716 17.636657999999997 15.694785000000001 15.884631 15.300536 15.204526999999999 15.104876 15.112364000000001 0.62981915 0.013769665 0.017980631 0.010800764 0.009442741 0.008391599 0.0063192523 0.0032788024 0.0029224934999999997 0.0024617813000000002 0.004143556 0.0029692190000000004 0.6801040000000018 0.5840950000000014 0.0041001112603532425 0.004392210540922191
