ID RA DEC Redshift
SDSSJ021810.52-010147.5 34.543839 -1.0298477 1.3513705730438232
SDSSJ023248.72+005138.8 38.202988 0.86077236 0.34399640560150146
SDSSJ024420.38+004029.0 41.084916 0.67473374 0.00926607009023428
SDSSJ030412.51-011133.8 46.052118 -1.1927121 0.012855948880314827
SDSSJ031129.70-001701.5 47.873731 -0.28375644 1.3608474731445312
SDSSJ022530.93-005007.0 36.378883 -0.83528203 0.058989595621824265
SDSSJ034602.53-000058.7 56.510552 -0.016296 0.30842792987823486
SDSSJ034125.37+002546.3 55.355723 0.429528 0.3216199576854706
SDSSJ142653.88+052517.3 216.72451 5.4214744 0.32278528809547424
SDSSJ144128.03+055152.4 220.36681 5.8645442 0.027212414890527725
SDSSJ144257.70+045338.9 220.74043 4.8941292 0.005154753569513559
SDSSJ023335.37-010744.7 38.39737300000002 -1.129084 0.3674398362636566
SDSSJ023020.94+001355.5 37.587266 0.232087 0.3348298966884613
SDSSJ023322.61+005059.6 38.34419800000001 0.84988349 0.00015475710097234696
SDSSJ024234.94-010351.9 40.64557600000001 -1.064427 1.3697514533996582
SDSSJ025910.39-002239.8 44.79328399999997 -0.377719 0.35989078879356384
SDSSJ025252.02-002211.8 43.216769 -0.36994777 1.3701097965240479
SDSSJ115247.51-004007.7 178.19797 -0.66879376 0.004619196988642216
SDSSJ120026.29-010607.8 180.10953 -1.1021667 0.00506423506885767
SDSSJ120020.10-010623.4 180.08377 -1.106491 0.00448679830878973
SDSSJ120038.28+011246.3 180.15948 1.2128693 1.3584496974945068
SDSSJ120123.24+002828.4 180.34685 0.4745465 1.3673779964447021
SDSSJ121043.56-003907.3 182.68148 -0.65201896 0.3310913145542145
SDSSJ004400.27+004724.7 11.00110999999998 0.79019504 0.3446032702922821
SDSSJ020115.53+003135.0 30.31471199999999 0.52640102 0.3622753322124481
SDSSJ010619.24+004823.3 16.58018700000002 0.80647784 4.440167427062988
SDSSJ114329.34-020319.7 175.87226 -2.0554768 3.3037068843841553
SDSSJ120021.77-024331.0 180.09069 -2.7252888 3.2481958866119385
SDSSJ115754.25-013815.8 179.47604 -1.6377307 4.415555000305176
SDSSJ115712.37-024111.3 179.30156 -2.6864619 0.004649951588362455
SDSSJ115314.11-032432.1 178.3088 -3.408914 0.0041430434212088585
SDSSJ115328.65-031347.3 178.36937 -3.2298046 0.004830950405448675
SDSSJ115132.94-022222.1 177.88725 -2.372798 0.003524287138134241
SDSSJ115237.68-022806.4 178.15699 -2.4684419 0.0035330932587385178
SDSSJ120047.43-032512.4 180.19764 -3.4201111 0.004978012293577194
SDSSJ135653.53-023852.0 209.22304 -2.6477659 0.012113366276025772
SDSSJ135204.18-020749.1 208.01743 -2.1303001 0.014546026475727558
SDSSJ204340.04+002853.4 310.91682 0.48151376 0.3165498375892639
SDSSJ204956.62-001201.7 312.48591 -0.20048362 0.36902621388435364
SDSSJ204720.76+000007.7 311.83652 0.0021361666 3.0715000320924446e-05
SDSSJ204910.97+001557.3 312.29569 0.26590729 0.36262980103492737
SDSSJ205316.77+005920.9 313.31988 0.98915183 4.333379745483398
SDSSJ205352.04-001601.6 313.46682 -0.26710468 0.36249497532844543
SDSSJ210014.12+004446.0 315.05882 0.74610065 -0.0001113781618187204
SDSSJ214639.54+011033.2 326.66475 1.175899 0.014947320334613323
SDSSJ205424.61+010543.6 313.60254 1.095448 0.01332031562924385
