# RA_1        DEC_1       Field          ID                         RA_2                 DEC_2                 FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal          e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)           GroupID   GroupSize   Separation          
  54.621179   -35.45074   SPLUS-s33s37   iDR3.SPLUS-s33s37.006610   66.49750313852422    -43.27294370064416    12.286036            1463      3.8268129999999996   12.0              2              18.022057999999998   17.607870000000002   17.521244            17.363913            17.195381            17.002895000000002   16.792929            16.424426999999998   16.059565            16.24996             16.08496             16.047745000000003   0.02296229             0.027357806000000002   0.038072865            0.029698172999999998   0.0268002              0.009454305999999999    0.01687335              0.006084429000000001    0.0057612485            0.0055936123            0.010027896             0.006907648000000001    0.17446699999999637      0.3648619999999987    0.008264912269271363    0.008379275656928423   1         247         43347.22199689418   
  54.621179   -35.45074   SPLUS-s33s38   iDR3.SPLUS-s33s38.007580   67.11963551092221    -43.24142208891915    25.309237            1660      4.0457344            12.0              0              18.45124             17.871992000000002   17.61084             18.040043            17.75873             17.56622             17.368046            16.961391            16.633213            16.680447            16.520329999999998   16.443872            0.033732112            0.037546325            0.051432135999999996   0.057673275            0.045395702            0.015900547             0.026414307             0.008236405             0.008451931             0.0071035280000000004   0.011686003             0.008187385             0.2809439999999981       0.32817799999999764   0.010876510348949658    0.011801419615994764   1         247         44606.814288382215  
  54.621179   -35.45074   SPLUS-s33s38   iDR3.SPLUS-s33s38.024478   66.92599861968759    -42.638987413573254   35.6797              3819      4.2381425            12.0              2              18.819824            18.281797            17.943897            18.398556            18.244257            18.167603            17.983292000000002   17.777819            17.451756            17.557489999999998   17.450874            17.388037            0.044314213            0.050558563            0.06641179             0.07763448             0.06724429             0.025327904             0.04222092400000001     0.014359383             0.014549798999999999    0.012843935             0.022533188             0.016183402             0.2203290000000031       0.3260630000000013    0.01926547550477055     0.020442322056975083   1         247         42974.83651815666   
  54.621179   -35.45074   SPLUS-s33s39   iDR3.SPLUS-s33s39.034766   68.83252077391391    -42.20328938270354    26.445971999999998   2379      3.9439157999999996   12.0              2              17.94987             17.419369            17.38295             17.330284            17.204735            17.060131            16.832272            16.526432            16.105341            16.390823            16.263810999999997   16.197464            0.024543112000000002   0.026117422            0.03811905             0.03180031             0.028441377            0.009983041             0.018224651             0.0067893269999999995   0.0062114582            0.0066718315            0.011047867             0.008297993             0.13560899999999876      0.42109100000000055   0.009518839040414605    0.009202020108828073   1         247         46592.331331062196  
  54.621179   -35.45074   SPLUS-s34s38   iDR3.SPLUS-s34s38.000390   69.52686376631496    -44.768224735793694   12.584499000000001   339       4.1520214            12.0              2              19.991953            19.680011999999998   20.343011999999998   19.120949            19.822481            17.6279              18.544283            17.423813            17.060442000000002   17.510035000000002   17.59354             16.963272            0.08283684             0.11264723             0.34157783             0.117273495            0.19665252             0.013370288000000001    0.050252285             0.009997292             0.009806933             0.011581922             0.02372833              0.013192039             -0.08622200000000291     0.3633709999999972    0.015299894265887853    0.014004348688880643   1         247         52856.86795538646   
  54.621179   -35.45074   SPLUS-s26s27   iDR3.SPLUS-s26s27.037572   41.52198188668681    -33.08317001603085    24.382645            2854      3.9226699999999997   12.0              0              18.07684             17.613874            17.646133            17.575153            17.488573000000002   17.354557            17.210354000000002   17.110664            16.702223            16.982353            16.919619            16.818552            0.02093097             0.022881582            0.035023913            0.03025508             0.02690565             0.0101498375            0.01759259              0.0072337342            0.00668405              0.007942381             0.014245394             0.010544592             0.12831100000000006      0.40844099999999983   0.010742826742781002    0.009849032179800696   1         247         39860.00961068412   
  54.621179   -35.45074   SPLUS-s30s23   iDR3.SPLUS-s30s23.015518   38.37958500587165    -39.053078732061635   27.533844000000002   272       3.8849308            12.0              3              18.331986999999998   18.074888            17.980610000000002   17.931047            17.81171             17.793357999999998   17.600273            17.354885            16.608376999999997   17.325860000000002   17.306963            17.191882999999997   0.026134541            0.03165897             0.04256643400000001    0.03471709             0.031164799999999996   0.01246489              0.023359556             0.007459021             0.0073496206000000005   0.010655803             0.020042311             0.015654564             0.029024999999997192     0.7465080000000022    0.01300704162572143     0.010471576635940996   1         247         48238.377995504605  
  54.621179   -35.45074   SPLUS-s30s23   iDR3.SPLUS-s30s23.017680   38.404351632929504   -39.02992290459976    132.14455            5988      4.0204572999999995   12.0              3              18.89072             18.701448000000003   18.51083             18.408839999999998   18.339195            18.258620999999998   18.080969            17.741573000000002   17.22181             17.727512            17.70901             17.519993            0.03797162             0.047857754            0.061015572000000004   0.047735225            0.044137243            0.016498484             0.031710774             0.00938354              0.0102705               0.014118765             0.027267424             0.020379916             0.014061000000001656     0.5197630000000011    0.016952591190045992    0.013911649549266256   1         247         48155.100595726966  
  54.621179   -35.45074   SPLUS-s38s30   iDR3.SPLUS-s38s30.020938   59.023230308727214   -49.477980287821204   32.270866            2558      4.266144799999999    12.0              3              19.098156            18.567936            18.702883            18.595032            18.462128            18.275420999999998   18.16382             17.928066            17.443241            17.749226            17.706039999999998   17.633255            0.03502934             0.044531934            0.061589766            0.048305176            0.043514103            0.014975882             0.028575404             0.011427979             0.010413051999999999    0.012747101             0.024352314             0.018922744             0.178840000000001        0.4848250000000007    0.017119792286375498    0.015460606585097007   1         247         51810.098553712676  
  54.621179   -35.45074   SPLUS-s38s30   iDR3.SPLUS-s38s30.034007   60.121774965078046   -49.02651415393258    12.556028            214       3.7558462999999995   12.0              3              17.621536            17.063860000000002   17.454124            17.544064000000002   17.441223            17.405327            17.215652            17.174156            15.978620999999999   17.352688            17.3983              17.21191             0.014327554            0.01846285             0.027167192000000003   0.024685972999999996   0.022898872999999997   0.009237089             0.016364941             0.0073292274            0.0047682454            0.009707885999999999    0.01917407              0.013529188999999999    -0.17853200000000058     1.1955350000000013    0.012163906645067066    0.008743782847002316   1         247         50989.22753839823   
  54.621179   -35.45074   SPLUS-s38s30   iDR3.SPLUS-s38s30.034017   60.12006841891675    -49.025231246109115   12.893680999999999   139       3.8404629999999997   12.0              3              18.597584            18.045647            18.381083            18.444962            18.316689            18.286694            18.138391            17.940151            16.85997             18.061945            18.085144            17.885344            0.025114646            0.031883325            0.048665546            0.04358405             0.039453487999999995   0.015068067             0.028111836             0.011316273             0.0074606063            0.015765077             0.032341216             0.022912997999999997    -0.12179400000000129     1.0801809999999996    0.019406073467511605    0.01355428644282423    1         247         50983.56507654126   
