# Field ID RA DEC FWHM ISOarea KRON_RADIUS nDet_magPStotal PhotoFlagDet U_PStotal F378_PStotal F395_PStotal F410_PStotal F430_PStotal G_PStotal F515_PStotal R_PStotal F660_PStotal I_PStotal F861_PStotal Z_PStotal e_U_PStotal e_F378_PStotal e_F395_PStotal e_F410_PStotal e_F430_PStotal e_G_PStotal e_F515_PStotal e_R_PStotal e_F660_PStotal e_I_PStotal e_F861_PStotal e_Z_PStotal r_-_i r_-_J0660 e(r_-_i) e(r_-_J0660)
HYDRA-0092 iDR3.HYDRA-0092.000541 161.96268802355596 -35.688769283804604 17.474464 156 3.745394 8.0 2 99.0 99.0 99.0 22.590364 99.0 16.37598 19.920559 17.968613 17.086111 16.805195 17.075134 17.843374 22.429281 21.72705 21.080515 1.87264 21.086407 0.005883214 0.14899816 0.013423713 0.008582832 0.007087835600000001 0.015231156000000001 0.02261158 1.163418 0.8825020000000023 0.015180035711387388 0.015933018416062695
HYDRA-0092 iDR3.HYDRA-0092.008033 160.2823059635174 -35.68780111921307 92.80713 3338 3.6569989 12.0 3 20.28569 19.36915 19.172453 18.380224 18.570532 18.135353 17.388557000000002 17.528755 16.564394 17.089039 16.948097 17.294485 0.07411446 0.06439129 0.091612846 0.050886568 0.058085393 0.017152548 0.02151361 0.010168861999999999 0.006458605 0.008605285 0.0139799025 0.014697985 0.43971600000000066 0.9643610000000002 0.013321286886268494 0.012046548589578219
HYDRA-0093 iDR3.HYDRA-0093.084331 162.8380310801533 -34.43006283683529 80.85167 5489 4.0455456 12.0 3 19.046247 18.448317000000003 18.4464 18.312693 18.236622 18.091347 18.033967999999998 17.764439000000003 17.359629 17.59658 17.49541 17.44175 0.03873215 0.039151732 0.062047973 0.046291005 0.041813605 0.013421083 0.02925085 0.00990822 0.0095863985 0.010225241999999999 0.019848218 0.01387755 0.16785900000000353 0.4048100000000012 0.014238272280265045 0.013786655133468823
HYDRA-0097 iDR3.HYDRA-0097.062205 155.19358538472298 -35.96420876959037 11.260074000000001 665 3.9207997000000003 12.0 2 18.470985 17.81493 17.746243 17.696217 17.484924 17.318148 17.133779999999998 16.851719 16.433529 16.647728 16.468037 16.430769 0.02374234 0.02724356 0.038682055 0.030539839 0.029151762 0.010119765 0.018107545 0.006890332 0.0067004733999999995 0.006537273499999999 0.011978863999999999 0.008200019000000001 0.20399099999999848 0.4181899999999992 0.00949803242171905 0.009611088328297246
HYDRA-0097 iDR3.HYDRA-0097.064462 154.62369886384215 -35.79347973039525 12.736596 1177 4.4927135 12.0 3 19.791452 19.359356 18.89111 18.243492 17.711018 17.10514 17.0248 16.208569 15.873612 15.903310000000001 15.628221 15.709715 0.05764425 0.07730379 0.08526269 0.043672588 0.03380358 0.009092636 0.01715506 0.00496149 0.0050583320000000005 0.004364634 0.007268859 0.0052615264 0.3052589999999995 0.33495700000000106 0.006608056671522726 0.007085414994361586
HYDRA-0098 iDR3.HYDRA-0098.063115 157.3718160149999 -36.04708258272795 13.406177 170 3.5431821000000006 12.0 3 18.23982 17.744460999999998 17.53811 17.173614999999998 17.079117 17.038395 16.640385000000002 17.07623 16.566225 17.090515 16.578638 17.530620000000003 0.018501632 0.021333697999999998 0.027615676000000002 0.019843929 0.018526448 0.0076407874 0.0123671545 0.0065141274 0.005873663 0.0072595607 0.00986797 0.014397183000000001 -0.014285000000000991 0.5100049999999996 0.00975372120477181 0.00877118993187354
HYDRA-0098 iDR3.HYDRA-0098.085417 155.9177889656979 -35.825982705450976 10.10788 2299 3.9753057999999997 12.0 3 19.092758 18.531229999999997 18.459789999999998 18.212112 17.942741 17.59386 17.30895 16.72297 16.187613 16.338348 16.123639999999998 15.948031 0.03120899 0.034394573 0.04954616 0.03731726 0.031073337000000003 0.010379064 0.017973896 0.0055092643 0.004933343 0.004920135999999999 0.007782855500000001 0.00531469 0.38462200000000024 0.5353570000000012 0.007386455942178934 0.007395259717069002
HYDRA-0099 iDR3.HYDRA-0099.011646 158.82649536450134 -36.880079669499686 9.994894 69 3.7894027 12.0 3 18.258833 17.74673 17.920605 17.817558 17.792984 17.692234 17.413479000000002 17.26067 16.399292000000003 17.378166 17.365156 17.223557 0.019868275 0.021390729 0.03408864 0.028960352999999998 0.02851794 0.011207468 0.019300872 0.008417549 0.0058782436 0.009723915999999999 0.017410396 0.012954324 -0.11749599999999916 0.8613779999999984 0.01286116921366238 0.010266882632442135
HYDRA-0099 iDR3.HYDRA-0099.013525 158.82799732327132 -36.87848044358572 26.133606 3565 3.8382568 12.0 2 18.219757 17.784748 17.734924 17.521713000000002 17.378529 17.200544 17.023746 16.696735 16.430999999999997 16.580868 16.514933 16.425152 0.01943746 0.021865388 0.030524272 0.024345673999999998 0.022390447999999997 0.008634312 0.015574316999999999 0.0062396424 0.005974274599999999 0.006066976 0.010102143499999999 0.007515649 0.1158670000000015 0.26573500000000294 0.008702949790987752 0.008638581728274782
HYDRA-0100 iDR3.HYDRA-0100.039372 160.086107044704 -36.42048686049676 23.390204999999998 229 3.8673785000000005 12.0 3 19.819430999999998 19.2888 18.999275 18.860239 18.698211999999998 18.495724 18.384563 17.85203 17.412605 17.579898999999997 17.451025 17.28256 0.05512387 0.059667367 0.07656527 0.05969517 0.052498285 0.017032374 0.032646037999999995 0.010720424 0.009437214000000001 0.010799536499999998 0.018354451 0.013962782 0.2721310000000017 0.43942499999999995 0.015217012826261539 0.014282454229633364
